Month,Acquisition,Activation,Retention,Revenue,Referral,Activation Rate (%),Retention Rate (%),Avg Revenue Per User
2024-01,4248,3453,1536,14319400.0,424,81.29,36.16,3371.0
2024-02,3989,3184,1407,12965300.0,398,79.82,35.27,3250.0
2024-03,4277,3379,1564,13680200.0,427,79.0,36.57,3199.0
2024-04,4142,3307,1453,13333400.0,414,79.84,35.08,3219.0
2024-05,4284,3395,1547,13995400.0,428,79.25,36.11,3267.0
2024-06,4047,3263,1462,13283700.0,404,80.63,36.13,3282.0
2024-07,4252,3410,1526,13742100.0,425,80.2,35.89,3232.0
2024-08,4323,3435,1513,13915200.0,432,79.46,35.0,3219.0
2024-09,4057,3255,1452,13087100.0,405,80.23,35.79,3226.0
2024-10,4230,3385,1471,13866400.0,423,80.02,34.78,3278.0
2024-11,4067,3257,1486,13210100.0,406,80.08,36.54,3248.0
2024-12,4084,3231,1446,13109200.0,408,79.11,35.41,3210.0
